%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1555298071958914571,21526,1555298071958914571,world,-2.88690471649,-0.818285226822,0.798077106476,-0.702716290951,0.176268681884,-0.333590120077,0.603188931942
1555298071968277834,21527,1555298071968277834,world,-2.88691902161,-0.818266868591,0.798100471497,-0.702667832375,0.176174372435,-0.33353587985,0.603302896023
1555298071978745481,21528,1555298071978745481,world,-2.88691997528,-0.818252563477,0.798099756241,-0.702689409256,0.176046729088,-0.333431839943,0.603372573853
1555298071988077256,21529,1555298071988077256,world,-2.88693714142,-0.818192481995,0.798104524612,-0.702620029449,0.175801873207,-0.333119988441,0.603696882725
1555298071988155673,21530,1555298071988155673,world,-2.88692855835,-0.818211555481,0.798115968704,-0.702619612217,0.175984695554,-0.333210974932,0.603593945503
1555298071998551469,21531,1555298071998551469,world,-2.88693332672,-0.818194389343,0.798119306564,-0.702648043633,0.175832241774,-0.333147972822,0.603640019894
1555298072008995580,21532,1555298072008995580,world,-2.88691806793,-0.818228244781,0.798088550568,-0.702589333057,0.176274433732,-0.333567291498,0.603347659111
1555298072018459257,21533,1555298072018459257,world,-2.88689994812,-0.81825876236,0.798066139221,-0.702626526356,0.176201894879,-0.333455353975,0.603387475014
1555298072028802032,21534,1555298072028802032,world,-2.88691043854,-0.818271398544,0.79808306694,-0.702633976936,0.176248759031,-0.333489745855,0.60334610939
1555298072028846996,21535,1555298072028846996,world,-2.88695240021,-0.81826376915,0.79814863205,-0.702672719955,0.175994873047,-0.333166837692,0.603553533554
1555298072038159378,21536,1555298072038159378,world,-2.88686466217,-0.818278551102,0.7981133461,-0.702720701694,0.176445141435,-0.33303001523,0.603441596031
1555298072048551942,21537,1555298072048551942,world,-2.88688850403,-0.81834769249,0.798054695129,-0.70265007019,0.176384449005,-0.333313822746,0.603384971619
1555298072058930086,21538,1555298072058930086,world,-2.88692092896,-0.818326473236,0.798040390015,-0.702672302723,0.17606253922,-0.333441883326,0.603382229805
1555298072068364155,21539,1555298072068364155,world,-2.8869228363,-0.818360090256,0.798077583313,-0.702655494213,0.176250502467,-0.333682984114,0.603213727474
1555298072078768514,21540,1555298072078768514,world,-2.88694286346,-0.81835603714,0.798153162003,-0.702680826187,0.175893068314,-0.333267807961,0.603518009186
1555298072078811112,21541,1555298072078811112,world,-2.8869562149,-0.818314313889,0.798140525818,-0.702652812004,0.175834864378,-0.333166092634,0.603623569012
1555298072088123533,21542,1555298072088123533,world,-2.88694667816,-0.818297863007,0.798084020615,-0.702687740326,0.176048576832,-0.333253026009,0.603472709656
1555298072098562758,21543,1555298072098562758,world,-2.88692760468,-0.81827378273,0.798028945923,-0.702647030354,0.176067188382,-0.333479911089,0.603389382362
1555298072108945923,21544,1555298072108945923,world,-2.88689899445,-0.818318367004,0.798046588898,-0.702631294727,0.176485553384,-0.333774000406,0.603122830391
1555298072118392479,21545,1555298072118392479,world,-2.88693237305,-0.818245887756,0.798131465912,-0.702717542648,0.175911009312,-0.333240151405,0.603485107422
1555298072128755617,21546,1555298072128755617,world,-2.88683509827,-0.81828045845,0.798096179962,-0.702722072601,0.176829099655,-0.333513140678,0.603060722351
1555298072138026601,21547,1555298072138026601,world,-2.88688850403,-0.818230867386,0.798115968704,-0.702631235123,0.17628633976,-0.333483219147,0.603342056274
1555298072138069891,21548,1555298072138069891,world,-2.88689136505,-0.818236112595,0.798068284988,-0.70261567831,0.176081344485,-0.333503216505,0.603408753872
1555298072148450014,21549,1555298072148450014,world,-2.88687705994,-0.818282842636,0.798021316528,-0.702665507793,0.176355049014,-0.333701580763,0.603161275387
1555298072158711025,21550,1555298072158711025,world,-2.88688755035,-0.818250179291,0.798080205917,-0.702693164349,0.175884053111,-0.33329769969,0.603489816189
1555298072169023193,21551,1555298072169023193,world,-2.88688850403,-0.818260669708,0.798181056976,-0.702670872211,0.175771608949,-0.333191782236,0.603606820107
1555298072178418906,21552,1555298072178418906,world,-2.88685417175,-0.818296194077,0.798164367676,-0.702708959579,0.176288127899,-0.333511352539,0.603235244751
1555298072188866156,21553,1555298072188866156,world,-2.88685512543,-0.818313598633,0.798104047775,-0.70264852047,0.176280885935,-0.333469718695,0.603330790997
1555298072188923628,21554,1555298072188923628,world,-2.88679122925,-0.818319320679,0.798000812531,-0.702634453773,0.176284641027,-0.333887308836,0.603115022182
1555298072198276245,21555,1555298072198276245,world,-2.88683986664,-0.81831073761,0.79804444313,-0.702648878098,0.176377892494,-0.333438277245,0.603319406509
1555298072208608566,21556,1555298072208608566,world,-2.88687229156,-0.818311929703,0.798138856888,-0.702715754509,0.176153451204,-0.333186358213,0.603446185589
1555298072219011200,21557,1555298072219011200,world,-2.88693141937,-0.818313837051,0.798194408417,-0.702633440495,0.175993040204,-0.333110362291,0.603630900383
1555298072228357479,21558,1555298072228357479,world,-2.88691711426,-0.818291902542,0.798133134842,-0.702667415142,0.175997599959,-0.333330720663,0.603468358517
1555298072228434300,21559,1555298072228434300,world,-2.88689899445,-0.818296432495,0.798036813736,-0.702631056309,0.176243081689,-0.333618670702,0.603279948235
1555298072238807258,21560,1555298072238807258,world,-2.8868970871,-0.81826710701,0.798033237457,-0.702600538731,0.176326528192,-0.333695441484,0.603248476982
1555298072248146450,21561,1555298072248146450,world,-2.8869228363,-0.818239212036,0.798090696335,-0.702744543552,0.17591907084,-0.333453804255,0.603333353996
