%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1554932295511010456,59655,1554932295511010456,world,-0.844325304031,-0.840115308762,0.945855140686,0.0529641211033,-0.0264546945691,-0.957524001598,-0.282210439444
1554932295511036137,59656,1554932295511036137,world,-0.84455370903,-0.839886188507,0.946013212204,0.0536577254534,-0.0251395460218,-0.957986533642,-0.280625551939
1554932295511112714,59659,1554932295511112714,world,-0.844504833221,-0.840031147003,0.945954084396,0.0532622933388,-0.025728655979,-0.957740545273,-0.281485944986
1554932295511144524,59660,1554932295511144524,world,-0.844442844391,-0.84010720253,0.945954561234,0.0533131100237,-0.0257538165897,-0.957600355148,-0.281950294971
1554932295511220739,59663,1554932295511220739,world,-0.844446659088,-0.840043067932,0.945912599564,0.0530214942992,-0.0258256532252,-0.957831859589,-0.281211495399
1554932295520543991,59664,1554932295520543991,world,-0.844490528107,-0.840088605881,0.946069478989,0.0535566322505,-0.0248487889767,-0.957712233067,-0.28160533309
1554932295540253235,59665,1554932295540253235,world,-0.844754457474,-0.839812994003,0.946131229401,0.053948007524,-0.0242729447782,-0.958318352699,-0.279511123896
1554932295550665644,59666,1554932295550665644,world,-0.844589471817,-0.840013027191,0.946105718613,0.0540128573775,-0.0244640149176,-0.957952618599,-0.280732959509
1554932295560042535,59667,1554932295560042535,world,-0.844505310059,-0.840099573135,0.946094036102,0.0538538768888,-0.024692742154,-0.957782804966,-0.281322151423
1554932295560083941,59668,1554932295560083941,world,-0.844436883926,-0.840094327927,0.946062803268,0.0573253557086,-0.0243073515594,-0.957638800144,-0.281159937382
1554932295570459952,59669,1554932295570459952,world,-0.844659566879,-0.839221000671,0.946130037308,0.0571282021701,-0.0244000274688,-0.959106326103,-0.276145100594
1554932295580874517,59670,1554932295580874517,world,-0.844571113586,-0.839706897736,0.946041822433,0.0547186359763,-0.0249888934195,-0.958441436291,-0.278875559568
1554932295590315528,59671,1554932295590315528,world,-0.844498157501,-0.839958429337,0.946011304855,0.0537461228669,-0.0251502916217,-0.958054244518,-0.280376702547
1554932295590345730,59672,1554932295590345730,world,-0.844452142715,-0.840079545975,0.946011304855,0.0534357689321,-0.0252422094345,-0.957842886448,-0.281148582697
1554932295600685283,59673,1554932295600685283,world,-0.844380378723,-0.840132951736,0.946027517319,0.0568885914981,-0.0245506875217,-0.957617580891,-0.281299829483
1554932295609948527,59674,1554932295609948527,world,-0.84446310997,-0.840090990067,0.946003437042,0.0545828305185,-0.0251005720347,-0.957775831223,-0.281169295311
1554932295620444236,59675,1554932295620444236,world,-0.844541549683,-0.840022802353,0.945951938629,0.0534316860139,-0.0255327373743,-0.957940161228,-0.280791729689
1554932295630849830,59676,1554932295630849830,world,-0.845117092133,-0.83987569809,0.945699930191,0.0491512790322,-0.0264771003276,-0.958769023418,-0.27864870429
1554932295630895429,59677,1554932295630895429,world,-0.845356941223,-0.839743614197,0.945599555969,0.0470051504672,-0.0268465913832,-0.959229707718,-0.27739533782
1554932295640316937,59678,1554932295640316937,world,-0.845464944839,-0.839618682861,0.945550441742,0.0460871905088,-0.0271458271891,-0.959508657455,-0.276554107666
1554932295660038743,59679,1554932295660038743,world,-0.845457077026,-0.839549303055,0.945541381836,0.0457636043429,-0.0272297430784,-0.959709584713,-0.275901854038
1554932295660093685,59680,1554932295660093685,world,-0.845431566238,-0.839481592178,0.945523262024,0.045920368284,-0.0273121669888,-0.959837019444,-0.275423705578
1554932295670490943,59681,1554932295670490943,world,-0.845486879349,-0.839316129684,0.945586442947,0.0457557812333,-0.026521332562,-0.960128068924,-0.274512678385
1554932295670562065,59682,1554932295670562065,world,-0.845322370529,-0.839349985123,0.945566892624,0.0463400036097,-0.0267810765654,-0.959986031055,-0.274886131287
1554932295681006530,59683,1554932295681006530,world,-0.845172405243,-0.839384794235,0.945453882217,0.0484344996512,-0.0268690939993,-0.959880292416,-0.274885416031
1554932295690410296,59684,1554932295690410296,world,-0.845147132874,-0.839376688004,0.945536851883,0.0478893108666,-0.0270101707429,-0.959854960442,-0.275055736303
1554932295700682971,59685,1554932295700682971,world,-0.845104217529,-0.839380741119,0.945582389832,0.0478009842336,-0.0271487291902,-0.959817707539,-0.275187134743
1554932295709995476,59686,1554932295709995476,world,-0.845049142838,-0.839406728745,0.945612430573,0.0478496663272,-0.0270794816315,-0.959776043892,-0.275330960751
1554932295720442534,59687,1554932295720442534,world,-0.845025777817,-0.839416503906,0.945628643036,0.0479823425412,-0.0270572137088,-0.959724485874,-0.275489479303
1554932295720492801,59688,1554932295720492801,world,-0.845013380051,-0.839413404465,0.945654630661,0.0481089390814,-0.0269760712981,-0.95967400074,-0.275651305914
1554932295740275511,59689,1554932295740275511,world,-0.845011711121,-0.839423418045,0.94566488266,0.0482745245099,-0.026872869581,-0.959652543068,-0.275707244873
1554932295740314411,59690,1554932295740314411,world,-0.845031023026,-0.839442253113,0.945656061172,0.0483354851604,-0.0268289428204,-0.959645211697,-0.275726288557
1554932295750685955,59691,1554932295750685955,world,-0.8450319767,-0.839443683624,0.945652961731,0.0485139265656,-0.0267818942666,-0.959597170353,-0.275866538286
1554932295759902017,59692,1554932295759902017,world,-0.845031023026,-0.839451313019,0.945666313171,0.0484886057675,-0.0266908109188,-0.959560215473,-0.276008337736
1554932295770300528,59693,1554932295770300528,world,-0.845028400421,-0.839469432831,0.945687532425,0.048477768898,-0.0266785379499,-0.959545731544,-0.276062011719
1554932295780692507,59694,1554932295780692507,world,-0.845053911209,-0.839461088181,0.945677518845,0.0486031137407,-0.0266757421196,-0.959541559219,-0.27605471015
1554932295780775174,59695,1554932295780775174,world,-0.845051527023,-0.839461565018,0.945675373077,0.0486690402031,-0.0266939979047,-0.959541678429,-0.276040732861
